X,Y,Z,Label
146.2,-4.836,497.863,CL
146.4,-4.839,497.862,CL
146.6,-4.841,497.862,CL
146.8,-4.843,497.862,CL
147.0,-4.845,497.863,CL
147.2,-4.846,497.863,CL
147.4,-4.847,497.864,CL
147.6,-4.847,497.88,CL
147.8,-4.847,497.881,CL
148.0,-4.846,497.882,CL
148.2,-4.845,497.884,CL
148.4,-4.844,497.886,CL
148.6,-4.842,497.888,CL
148.8,-4.84,497.89,CL
149.0,-4.837,497.893,CL
149.2,-4.834,497.895,CL
149.4,-4.831,497.897,CL
149.6,-4.827,497.9,CL
149.8,-4.823,497.902,CL
150.0,-4.818,497.904,CL
150.2,-4.813,497.906,CL
150.4,-4.808,497.908,CL
150.6,-4.802,497.91,CL
150.8,-4.796,497.911,CL
151.0,-4.79,497.912,CL
151.2,-4.783,497.913,CL
151.4,-4.776,497.914,CL
151.6,-4.768,497.915,CL
151.8,-4.76,497.915,CL
152.0,-4.752,497.915,CL
152.2,-4.744,497.914,CL
152.4,-4.735,497.914,CL
152.6,-4.726,497.913,CL
152.8,-4.716,497.913,CL
153.0,-4.706,497.912,CL
153.2,-4.696,497.911,CL
153.4,-4.685,497.91,CL
153.6,-4.673,497.91,CL
153.8,-4.662,497.909,CL
154.0,-4.65,497.908,CL
154.2,-4.637,497.908,CL
154.4,-4.624,497.907,CL
154.6,-4.611,497.907,CL
154.8,-4.597,497.907,CL
155.0,-4.582,497.907,CL
155.2,-4.567,497.907,CL
155.4,-4.552,497.908,CL
155.6,-4.536,497.909,CL
155.8,-4.519,497.909,CL
156.0,-4.502,497.91,CL
156.2,-4.484,497.912,CL
156.4,-4.466,497.913,CL
156.6,-4.447,497.915,CL
156.8,-4.428,497.917,CL
157.0,-4.409,497.919,CL
157.2,-4.388,497.921,CL
157.4,-4.368,497.924,CL
157.6,-4.347,497.926,CL
157.8,-4.325,497.93,CL
158.0,-4.303,497.933,CL
158.2,-4.28,497.936,CL
158.4,-4.257,497.94,CL
158.6,-4.234,497.943,CL
158.8,-4.21,497.947,CL
159.0,-4.186,497.95,CL
159.2,-4.162,497.954,CL
159.4,-4.137,497.958,CL
159.6,-4.112,497.961,CL
159.8,-4.087,497.964,CL
160.0,-4.061,497.966,CL
160.2,-4.035,497.969,CL
160.4,-4.009,497.97,CL
160.6,-3.983,497.972,CL
160.8,-3.957,497.972,CL
161.0,-3.93,497.972,CL
161.2,-3.903,497.971,CL
161.4,-3.876,497.97,CL
161.6,-3.848,497.968,CL
161.8,-3.821,497.966,CL
162.0,-3.793,497.963,CL
162.2,-3.765,497.96,CL
162.4,-3.736,497.956,CL
162.6,-3.707,497.952,CL
162.8,-3.678,497.948,CL
163.0,-3.649,497.944,CL
163.2,-3.619,497.941,CL
163.4,-3.588,497.937,CL
163.6,-3.558,497.934,CL
163.8,-3.526,497.931,CL
164.0,-3.494,497.928,CL
164.2,-3.462,497.926,CL
164.4,-3.429,497.925,CL
164.6,-3.395,497.924,CL
164.8,-3.36,497.923,CL
165.0,-3.325,497.923,CL
165.2,-3.288,497.923,CL
165.4,-3.251,497.923,CL
165.6,-3.213,497.924,CL
165.8,-3.174,497.925,CL
166.0,-3.134,497.926,CL
166.2,-3.093,497.926,CL
166.4,-3.051,497.927,CL
166.6,-3.008,497.928,CL
166.8,-2.963,497.928,CL
167.0,-2.918,497.929,CL
167.2,-2.871,497.929,CL
167.4,-2.824,497.929,CL
167.6,-2.775,497.929,CL
167.8,-2.724,497.928,CL
168.0,-2.673,497.928,CL
168.2,-2.62,497.927,CL
168.4,-2.567,497.927,CL
168.6,-2.512,497.926,CL
168.8,-2.456,497.926,CL
169.0,-2.399,497.926,CL
169.2,-2.341,497.926,CL
169.4,-2.281,497.927,CL
169.6,-2.221,497.928,CL
169.8,-2.16,497.929,CL
170.0,-2.098,497.931,CL
170.2,-2.034,497.927,CL
170.4,-1.97,497.928,CL
170.6,-1.906,497.929,CL
170.8,-1.84,497.93,CL
171.0,-1.774,497.932,CL
171.2,-1.707,497.933,CL
171.4,-1.639,497.935,CL
171.6,-1.571,497.937,CL
171.8,-1.502,497.94,CL
172.0,-1.432,497.942,CL
172.2,-1.362,497.944,CL
172.4,-1.292,497.947,CL
172.6,-1.221,497.949,CL
172.8,-1.15,497.953,CL
173.0,-1.079,497.957,CL
173.2,-1.007,497.962,CL
173.4,-0.935,497.967,CL
173.6,-0.863,497.972,CL
173.8,-0.79,497.977,CL
174.0,-0.718,497.983,CL
174.2,-0.645,497.989,CL
174.4,-0.572,497.995,CL
174.6,-0.499,498.001,CL
174.8,-0.427,497.974,CL
175.0,-0.354,497.976,CL
175.2,-0.281,497.978,CL
175.4,-0.208,497.98,CL
175.6,-0.135,497.982,CL
175.8,-0.062,497.984,CL
176.0,0.01,497.986,CL
176.2,0.083,497.988,CL
176.4,0.155,497.991,CL
176.6,0.227,497.995,CL
176.8,0.299,498.0,CL
177.0,0.37,498.006,CL
177.2,0.442,498.012,CL
177.4,0.513,498.018,CL
177.6,0.583,498.024,CL
