X,Y,Z,Label
14.0,-7.0,1002.114,XS
14.0,-6.0,1002.096,XS
14.0,-5.0,1002.078,XS
14.0,-4.0,1002.043,XS
14.0,-3.0,1002.019,XS
14.0,-2.0,1002.003,XS
14.0,-1.0,1001.987,XS
15.0,0.0,1001.966,XS
15.0,1.0,1001.951,XS
15.0,2.0,1001.936,XS
15.0,3.0,1001.907,XS
15.0,4.0,1001.878,XS
15.0,5.0,1001.864,XS
15.0,6.0,1001.85,XS
15.0,7.0,1001.822,XS
15.0,8.0,1001.807,XS
15.0,9.0,1001.804,XS
15.0,10.0,1001.785,XS
15.0,11.0,1001.765,XS
15.0,12.0,1001.757,XS
15.0,13.0,1001.75,XS
15.0,14.0,1001.746,XS
15.0,15.0,1001.768,XS
15.0,16.0,1002.014,XS
15.0,17.0,1002.26,XS
15.0,-13.0,1002.29,XS
15.0,-12.0,1002.243,XS
15.0,-11.0,1002.212,XS
15.0,-10.0,1002.196,XS
15.0,-9.0,1002.18,XS
15.0,-8.0,1002.148,XS
15.0,-7.0,1002.116,XS
15.0,-6.0,1002.1,XS
15.0,-5.0,1002.084,XS
15.0,-4.0,1002.054,XS
15.0,-3.0,1002.025,XS
15.0,-2.0,1002.023,XS
15.0,-1.0,1001.995,XS
16.0,0.0,1001.967,XS
16.0,1.0,1001.953,XS
16.0,2.0,1001.939,XS
16.0,3.0,1001.912,XS
16.0,4.0,1001.885,XS
16.0,5.0,1001.871,XS
16.0,6.0,1001.858,XS
16.0,7.0,1001.832,XS
16.0,8.0,1001.818,XS
16.0,9.0,1001.804,XS
16.0,10.0,1001.782,XS
16.0,11.0,1001.763,XS
16.0,12.0,1001.756,XS
16.0,13.0,1001.749,XS
16.0,14.0,1001.744,XS
16.0,15.0,1001.766,XS
16.0,16.0,1002.005,XS
16.0,17.0,1002.245,XS
16.0,-13.0,1002.275,XS
16.0,-12.0,1002.231,XS
16.0,-11.0,1002.202,XS
16.0,-10.0,1002.187,XS
16.0,-9.0,1002.172,XS
16.0,-8.0,1002.143,XS
16.0,-7.0,1002.113,XS
16.0,-6.0,1002.099,XS
16.0,-5.0,1002.084,XS
16.0,-4.0,1002.051,XS
16.0,-3.0,1002.037,XS
16.0,-2.0,1002.023,XS
16.0,-1.0,1001.995,XS
17.0,0.0,1001.96,XS
17.0,1.0,1001.946,XS
17.0,2.0,1001.933,XS
17.0,3.0,1001.906,XS
17.0,4.0,1001.88,XS
17.0,5.0,1001.863,XS
17.0,6.0,1001.854,XS
17.0,7.0,1001.828,XS
